MALOP          |MASV      |HO                                                |TEN            |PHAI|PASSWORD                        |S
D22CQCN01-N    |N22DCCN001|Nguyen Van                                        |An             |Nam |123                             |0
D22CQCN01-N    |N22DCCN002|Le Thi                                            |Binh           |Nu  |123                             |0
D22CQCN01-N    |N22DCCN003|Tran Van                                          |Cuong          |Nam |123                             |0
D22CQCN01-N    |N22DCCN004|Pham Thi                                          |Dung           |Nu  |123                             |0
D22CQCN01-N    |N22DCCN005|Hoang Van                                         |Em             |Nam |123                             |0
D22CQCN01-N    |N22DCCN006|Vu Thi                                            |Phuong         |Nu  |123                             |0
D22CQCN01-N    |N22DCCN007|Dang Van                                          |Giang          |Nam |123                             |0
D22CQCN01-N    |N22DCCN008|Bui Thi                                           |Hoa            |Nu  |123                             |0
D22CQCN01-N    |N22DCCN009|Do Van                                            |Khanh          |Nam |123                             |0
D22CQCN01-N    |N22DCCN010|Ngo Thi                                           |Lan            |Nu  |123                             |0
D22CQCN02-N    |N22DCCN011|Nguyen Van                                        |An             |Nam |123                             |0
D22CQCN02-N    |N22DCCN012|Le Thi                                            |Binh           |Nu  |123                             |0
D22CQCN02-N    |N22DCCN013|Tran Van                                          |Cuong          |Nam |123                             |0
D22CQCN02-N    |N22DCCN014|Pham Thi                                          |Dung           |Nu  |123                             |0
D22CQCN02-N    |N22DCCN015|Hoang Van                                         |Em             |Nam |123                             |0
D22CQCN02-N    |N22DCCN016|Vu Thi                                            |Phuong         |Nu  |123                             |0
D22CQCN02-N    |N22DCCN017|Dang Van                                          |Giang          |Nam |123                             |0
D22CQCN02-N    |N22DCCN018|Bui Thi                                           |Hoa            |Nu  |123                             |0
D22CQCN02-N    |N22DCCN019|Do Van                                            |Khanh          |Nam |123                             |0
D22CQCN02-N    |N22DCCN020|Ngo Thi                                           |Lan            |Nu  |123                             |0
D22CQCN03-N    |N22DCCN021|Nguyen Van                                        |An             |Nam |123                             |0
D22CQCN03-N    |N22DCCN022|Le Thi                                            |Binh           |Nu  |123                             |0
D22CQCN03-N    |N22DCCN023|Tran Van                                          |Cuong          |Nam |123                             |0
D22CQCN03-N    |N22DCCN024|Pham Thi                                          |Dung           |Nu  |123                             |0
D22CQCN03-N    |N22DCCN025|Hoang Van                                         |Em             |Nam |123                             |0
D22CQCN03-N    |N22DCCN026|Vu Thi                                            |Phuong         |Nu  |123                             |0
D22CQCN03-N    |N22DCCN027|Dang Van                                          |Giang          |Nam |123                             |0
D22CQCN03-N    |N22DCCN028|Bui Thi                                           |Hoa            |Nu  |123                             |0
